1,18,1,1,1,1,10,1:34:50.616,39,2,218.300
2,18,2,2,5,2,8,+5.478,41,3,217.586
3,18,3,3,7,3,6,+8.163,41,5,216.719
4,18,4,4,11,4,5,+17.181,58,7,215.464
5,18,5,1,3,5,4,+18.014,43,1,218.385
6,18,6,3,13,6,3,\N,50,14,212.974
7,18,7,5,17,7,2,\N,54,8,213.224
8,18,8,6,15,8,1,\N,20,4,217.180
9,18,9,2,2,9,0,\N,15,9,215.100
10,18,10,7,18,10,0,\N,23,13,213.166
11,18,11,8,19,11,0,\N,24,15,210.038
12,18,12,4,20,12,0,\N,20,16,208.907
13,18,13,6,4,13,0,\N,23,6,216.510
14,18,14,9,8,14,0,\N,21,11,213.300
15,18,15,7,6,15,0,\N,18,10,213.758
16,18,16,10,22,16,0,\N,8,17,207.461
17,18,17,9,14,17,0,\N,\N,\N,\N
18,18,18,11,12,18,0,\N,\N,\N,\N
19,18,19,8,21,19,0,\N,\N,\N,\N
20,18,20,5,9,20,0,\N,\N,\N,\N
21,18,21,10,16,21,0,\N,\N,\N,\N
22,18,22,11,10,22,0,\N,44,8,215.141
23,19,8,6,2,1,10,1:31:18.555,37,2,209.158
24,19,9,2,4,2,8,+19.570,39,6,208.033
25,19,5,1,8,3,6,+38.450,19,7,208.031
26,19,15,7,3,4,5,+45.832,53,8,207.715
27,19,1,1,9,5,4,+46.548,53,3,209.033
28,19,2,2,5,6,3,+49.833,55,1,209.244
29,19,17,9,6,7,2,+1:08.130,53,12,206.366
30,19,4,4,7,8,1,+1:10.041,40,10,207.240
31,19,14,9,12,9,0,+1:16.220,55,9,207.417
32,19,18,11,11,10,0,+1:26.214,56,4,208.481
33,19,12,4,13,11,0,+1:32.202,52,15,205.812
34,19,21,10,17,12,0,\N,52,16,205.800
35,19,22,11,14,13,0,\N,55,11,206.372
36,19,3,3,16,14,0,\N,55,13,206.182
37,19,19,8,21,15,0,\N,55,18,203.265
38,19,11,8,19,16,0,\N,53,19,202.578
39,19,6,3,22,17,0,\N,19,17,204.222
40,19,20,5,15,18,0,\N,37,14,205.995
41,19,13,6,1,19,0,\N,15,5,208.048
42,19,16,10,20,20,0,\N,3,20,198.891
43,19,10,7,10,21,0,\N,\N,\N,\N
44,19,7,5,18,22,0,\N,\N,\N,\N
45,20,13,6,2,1,10,1:31:06.970,38,3,208.153
46,20,8,6,4,2,8,+3.339,35,4,207.911
47,20,9,2,1,3,6,+4.998,55,5,207.765
48,20,2,2,6,4,5,+8.409,48,2,208.231
49,20,5,1,5,5,4,+26.789,49,1,209.062
50,20,15,7,7,6,3,+41.314,45,7,206.819
51,20,17,9,11,7,2,+45.473,51,8,206.597
52,20,3,3,8,8,1,+55.889,57,6,207.109
53,20,10,7,13,9,0,+1:09.500,56,9,205.503
54,20,4,4,10,10,0,+1:17.181,35,13,204.668
55,20,22,11,12,11,0,+1:17.862,40,10,205.399
56,20,21,10,18,12,0,\N,56,11,204.963
57,20,1,1,3,13,0,\N,25,19,203.969
58,20,6,3,16,14,0,\N,30,17,204.155
59,20,7,5,15,15,0,\N,33,15,204.369
60,20,19,8,21,16,0,\N,45,14,204.389
61,20,11,8,22,17,0,\N,56,20,203.180
62,20,14,9,17,18,0,\N,43,16,204.331
63,20,16,10,20,19,0,\N,55,18,204.136
64,20,12,4,14,20,0,\N,31,12,204.808
65,20,18,11,9,21,0,\N,11,21,202.686
66,20,20,5,19,22,0,\N,\N,\N,\N
67,21,8,6,1,1,10,1:38:19.051,46,1,205.191
68,21,13,6,3,2,8,+3.228,45,2,204.863
69,21,1,1,5,3,6,+4.187,20,3,204.323
70,21,9,2,4,4,5,+5.694,20,4,204.102
71,21,17,9,7,5,4,+35.938,19,8,202.969
72,21,18,11,13,6,3,+53.010,66,5,203.489
73,21,6,3,12,7,2,+58.244,48,15,200.576
74,21,15,7,8,8,1,+59.435,45,10,202.494
75,21,2,2,9,9,0,+1:03.073,21,7,203.080
76,21,21,10,19,10,0,\N,40,14,200.841
77,21,10,7,14,11,0,\N,57,12,201.886
78,21,14,9,17,12,0,\N,57,11,202.288
79,21,11,8,22,13,0,\N,34,17,198.045
80,21,3,3,15,14,0,\N,20,13,201.130
81,21,4,4,2,15,0,\N,15,9,202.677
82,21,22,11,11,16,0,\N,21,16,199.837
83,21,5,1,6,17,0,\N,19,6,203.243
84,21,19,8,21,18,0,\N,6,20,192.922
85,21,7,5,16,19,0,\N,6,19,194.862
86,21,12,4,10,20,0,\N,6,18,196.128
87,21,16,10,20,21,0,\N,\N,\N,\N
88,21,20,5,18,22,0,\N,\N,\N,\N
89,22,13,6,1,1,10,1:26:49.451,16,3,221.734
90,22,1,1,3,2,8,+3.779,31,2,222.085
91,22,8,6,4,3,6,+4.271,20,1,222.144
92,22,9,2,5,4,5,+21.945,17,4,221.442
93,22,2,2,9,5,4,+38.741,20,5,220.328
94,22,4,4,7,6,3,+53.724,57,6,220.174
95,22,17,9,6,7,2,+1:04.229,14,7,219.294
96,22,3,3,11,8,1,+1:11.406,55,9,218.882
97,22,14,9,10,9,0,+1:15.270,41,12,218.457
98,22,15,7,8,10,0,+1:16.344,52,11,218.556
99,22,18,11,13,11,0,\N,57,13,218.377
100,22,5,1,2,12,0,\N,55,8,219.269
101,22,10,7,15,13,0,\N,28,16,217.623
102,22,22,11,12,14,0,\N,56,14,218.330
103,22,12,4,17,15,0,\N,40,10,218.703
104,22,16,10,19,16,0,\N,35,18,216.454
105,22,20,5,14,17,0,\N,38,15,217.926
106,22,7,5,18,18,0,\N,19,17,216.539
107,22,6,3,16,19,0,\N,\N,\N,\N
108,22,21,10,20,20,0,\N,\N,\N,\N
109,23,1,1,3,1,10,2:00:42.742,71,6,153.152
110,23,9,2,5,2,8,+3.064,75,5,154.286
111,23,13,6,1,3,6,+4.811,76,4,154.379
112,23,17,9,9,4,5,+19.295,74,8,152.133
113,23,20,5,19,5,4,+24.657,74,7,152.614
114,23,22,11,14,6,3,+28.408,75,9,151.104
115,23,6,3,13,7,2,+30.180,75,13,150.469
116,23,5,1,4,8,1,+33.191,74,2,155.586
117,23,8,6,2,9,0,+33.792,74,1,156.789
